Time,Title,Types,Number of reads,Comments,Author
09-23 07:57,汇丰控股(00005)9月20日回购并注销252万股,资讯,1182,0,汇丰控股资讯
09-23 07:44,汇丰控股(00005.HK)回购252万股 每股股平均价6.1364英,资讯,1136,0,汇丰控股资讯
09-23 07:41,本身股份之交易,公告,1006,0,汇丰控股资讯
09-20 17:10,汇丰控股(00005-HK)回购261.47万股 涉资约1.57亿港元,资讯,1414,0,汇丰控股资讯
09-20 16:51,汇丰控股(00005)9月19日斥1.57亿港元回购261.47万股,资讯,1366,0,汇丰控股资讯
09-20 16:41,汇丰控股(00005.HK)9月19日耗资1.57亿港元回购261.5万,资讯,1209,0,汇丰控股资讯
09-20 16:37,翌日披露報表,公告,1347,0,汇丰控股资讯
09-20 13:19,汇丰控股(00005-HK)回购261.47万股,资讯,1234,0,汇丰控股资讯
09-20 07:52,汇丰控股(00005)9月19日回购约261.47万股,资讯,1058,0,汇丰控股资讯
09-20 07:48,汇丰控股(00005.HK)回购261.47万股 每股平均价6.1560,资讯,1111,0,汇丰控股资讯
09-20 07:44,本身股份之交易,公告,1126,0,汇丰控股资讯
09-19 18:04,汇丰控股(00005)将于11月20日派发2019年第三次股息,资讯,1390,0,汇丰控股资讯
09-19 17:53,汇丰控股(00005.HK)9月18日耗资1189.2万港元回购20万,资讯,1227,0,汇丰控股资讯
09-19 17:37,2019年度第三次股息,公告,1568,0,汇丰控股资讯
09-19 17:35,汇丰控股(00005)9月18日注销约314.88万股并回购20.02,资讯,1249,0,汇丰控股资讯
09-19 17:26,翌日披露報表,公告,1041,0,汇丰控股资讯
09-19 14:04,"汇丰控股(00005-HK)购入200,236股",资讯,984,0,汇丰控股资讯
09-19 13:21,汇丰控股挫1％失十天线 遭美银美林降今明两年盈测,资讯,967,0,财经评论
09-19 11:36,美银美林：重申汇丰控股(00005)“中性”评级 目标价67,资讯,1645,0,财经评论
09-19 08:54,汇丰控股(00005)9月18日回购20万股,资讯,1120,0,汇丰控股资讯
09-19 08:14,汇丰控股(00005.HK)回购20.02万股 每股平均价6.1215英,资讯,1077,0,汇丰控股资讯
09-19 07:46,本身股份之交易,公告,1129,0,汇丰控股资讯
09-18 18:45,汇丰控股(00005)将于9月26日派发2019年度第二次股息每,资讯,1351,0,汇丰控股资讯
09-18 18:40,汇丰控股(00005)9月17日斥1.196亿港元回购199.78万股,资讯,1114,0,汇丰控股资讯
09-18 17:08,汇丰控股(00005.HK)拟派发2019年度第二次股息  可选择,资讯,1363,0,汇丰控股资讯
09-18 17:08,2019年度第二次股息,公告,1302,0,汇丰控股资讯
09-18 17:01,翌日披露報表,公告,1009,0,汇丰控股资讯
09-18 07:56,汇丰控股(00005)9月17日回购199.7万股,资讯,1234,0,汇丰控股资讯
09-18 07:44,本身股份之交易,公告,1125,0,汇丰控股资讯
09-17 17:25,汇丰控股(00005)9月16日斥1.91亿港元回购314.88万股,资讯,1127,0,汇丰控股资讯
09-17 17:17,翌日披露報表,公告,1019,0,汇丰控股资讯
09-17 10:19,汇控上日伦交所回购约315万股 涉资近1.9亿元,资讯,1032,0,财经评论
09-17 08:10,汇丰控股(00005)9月16日回购314.8万股,资讯,1148,0,汇丰控股资讯
09-17 08:01,汇丰控股(00005.HK)回购314.88万股 每股平均价6.2102,资讯,1065,0,汇丰控股资讯
09-17 07:14,本身股份之交易,公告,1167,0,汇丰控股资讯
09-16 20:00,汇丰控股(00005.HK)将于9月26日派发2019年度第二次股,资讯,1629,0,汇丰控股资讯
09-16 19:59,汇丰控股(00005)将于9月26日派发2019年度第二次股息每,资讯,1126,0,汇丰控股资讯
09-16 19:50,2019年度第二次股息,公告,1458,0,汇丰控股资讯
09-16 16:48,汇丰控股(00005.HK)9月13日耗资328万港元回购5.45万股,资讯,1067,0,汇丰控股资讯
09-16 16:46,汇丰控股(00005)9月13日斥328.47万港元回购5.45万股,资讯,901,0,汇丰控股资讯
09-16 16:40,翌日披露報表,公告,891,0,汇丰控股资讯
09-16 13:40,"汇控(00005-HK)回购54,478股",资讯,820,0,汇丰控股资讯
09-16 07:25,汇丰控股(00005)9月13日回购5.4万股,资讯,1184,0,汇丰控股资讯
09-16 07:21,汇丰控股(00005.HK)回购5.45万股 每股平均价6.2452英,资讯,1168,0,汇丰控股资讯
09-16 07:16,本身股份之交易,公告,1094,0,汇丰控股资讯
09-14 11:42,9月14日ADR统计,资讯,1656,0,财经评论
09-13 17:57,汇丰控股(00005.HK)9月12日回购132股,资讯,1555,0,汇丰控股资讯
09-13 17:53,汇丰控股(00005)9月12日仅回购132股,资讯,1544,1,汇丰控股资讯
09-13 17:20,翌日披露報表,公告,1336,0,汇丰控股资讯
09-13 07:47,本身股份之交易,公告,1351,0,汇丰控股资讯
09-12 16:47,翌日披露報表,公告,1145,0,汇丰控股资讯
09-12 16:45,汇丰控股9月11日斥6060港元回购100股,资讯,1250,0,汇丰控股资讯
09-12 13:11,高盛：予汇丰控股(00005)“买入”评级 目标价87.42港,资讯,1469,1,财经评论
09-12 08:00,汇丰控股(00005.HK)回购100股 每股平均价6.2714英镑,资讯,1169,0,汇丰控股资讯
09-12 07:46,汇丰控股(00005)9月11日回购并注销100股,资讯,1017,0,汇丰控股资讯
09-12 07:39,本身股份之交易,公告,1248,1,汇丰控股资讯
09-11 16:56,汇丰控股(00005)9月10日注销1.84万股并回购100股,资讯,1160,0,汇丰控股资讯
09-11 16:26,香港证监会对汇丰处以210万元罚款并谴责 指其违反电话,资讯,1899,0,汇丰控股资讯
09-11 16:25,翌日披露報表,公告,1031,0,汇丰控股资讯
09-11 14:54,汇丰控股0005.HK内银走势呈强 留意汇丰购22174,资讯,1926,0,财经评论
09-11 10:00,汇丰控股重上60关 现涨近2%暂四连扬累升4%,资讯,1317,0,汇丰控股资讯
09-11 07:45,汇丰控股(00005.HK)9月10日回购100股,资讯,1063,0,汇丰控股资讯
09-11 07:44,汇丰控股(00005)9月10日回购100股以作注销,资讯,1286,1,汇丰控股资讯
09-11 07:31,本身股份之交易,公告,1223,0,汇丰控股资讯
09-11 01:44,两大事故致5830项交易指示未被录音 汇丰遭罚210万港元,资讯,2082,0,汇丰控股资讯
09-10 17:40,汇丰控股(00005)9月9日注销341.23万股并回购4851股,资讯,1120,0,汇丰控股资讯
09-10 17:07,汇丰控股(00005.HK)9月9日耗资28.1万港元回购4851股,资讯,1118,0,汇丰控股资讯
09-10 17:05,翌日披露報表,公告,1070,0,汇丰控股资讯
09-10 07:53,汇丰控股(00005)9月9日回购并注销4851股,资讯,1294,0,汇丰控股资讯
09-10 07:45,本身股份之交易,公告,1265,0,汇丰控股资讯
09-09 16:57,汇丰控股(00005)9月6日注销约496.69万股并回购1.84万,资讯,1136,0,汇丰控股资讯
09-09 16:47,汇丰控股(00005.HK)9月6日耗资106.15万港元回购1.84万,资讯,1027,0,汇丰控股资讯
09-09 16:46,翌日披露報表,公告,1116,0,汇丰控股资讯
09-09 07:54,汇丰控股(00005.HK)回购1.84万股 每股平均价5.9932英,资讯,1475,0,汇丰控股资讯
09-09 07:44,本身股份之交易,公告,1257,0,汇丰控股资讯
09-06 17:50,汇丰控股(00005)9月5日斥1.4亿港元回购245万股,资讯,1714,0,汇丰控股资讯
09-06 17:18,翌日披露報表,公告,1599,0,汇丰控股资讯
09-06 10:53,汇丰控股(00005.HK)回购245万股 每股平均价5.9743英镑,资讯,1426,0,汇丰控股资讯
09-06 07:52,汇丰控股(00005)9月5日回购并注销245万股,资讯,1380,0,汇丰控股资讯
09-06 07:43,本身股份之交易,公告,1455,0,汇丰控股资讯
09-05 17:04,汇丰控股(00005)9月4日回购约592.92万股并注销636.1万,资讯,1507,0,汇丰控股资讯
09-05 16:47,汇丰控股9月4日耗资3.37亿港元回购593万股,资讯,1185,0,汇丰控股资讯
09-05 16:45,翌日披露報表,公告,1199,0,汇丰控股资讯
09-05 08:04,汇丰控股(00005)9月4日回购并注销592.92万股,资讯,1355,0,汇丰控股资讯
09-05 08:03,汇丰控股(00005.HK)回购592.9万股 每股平均价6.0433英,资讯,1348,0,汇丰控股资讯
09-05 07:44,本身股份之交易,公告,1405,0,汇丰控股资讯
09-04 18:01,汇丰控股(00005)9月3日耗资3.97亿港元购回702.8万股,资讯,1315,0,汇丰控股资讯
09-04 17:44,汇丰控股(00005.HK)9月3日耗资3.97亿港元回购702.81万,资讯,1283,0,汇丰控股资讯
09-04 17:41,翌日披露報表,公告,1287,0,汇丰控股资讯
09-04 10:45,汇丰控股（0005）上日伦交所回购近703万股 涉3.95亿,资讯,1478,0,汇丰控股资讯
09-04 08:52,汇丰控股(00005.HK)回购702.81万股 每股平均价5.9534,资讯,1299,0,汇丰控股资讯
09-04 08:21,汇丰控股(00005)9月3日回购并注销702.81万股,资讯,1270,0,汇丰控股资讯
09-04 07:45,本身股份之交易,公告,1556,0,汇丰控股资讯
09-03 17:15,汇丰控股(00005)9月2日注销659.74万股已回购股份,资讯,1239,0,汇丰控股资讯
09-03 16:53,翌日披露報表,公告,1402,0,汇丰控股资讯
09-03 16:47,截至2019年8月31日止月份之股份發行人的證券變動月報,公告,1336,0,汇丰控股资讯
09-03 09:25,汇控(00005)上日伦交所回购逾636万股 涉3.61亿元,资讯,1190,0,财经评论
09-03 08:15,汇丰控股(00005)9月2日回购636.1万股,资讯,1198,0,汇丰控股资讯
09-03 07:52,汇丰控股(00005.HK)回购636.1万股 每股平均价5.9400英,资讯,1141,0,汇丰控股资讯
09-03 07:42,本身股份之交易,公告,1403,0,汇丰控股资讯
09-02 17:29,汇丰控股(00005)8月30日耗资3.87亿港元回购683.5万股,资讯,1490,0,汇丰控股资讯
09-02 17:18,翌日披露報表,公告,1177,0,汇丰控股资讯
09-02 14:18,永义国际(01218-HK)悉售汇控(00005-HK)股权,资讯,3419,0,永义国际资讯
09-02 08:07,汇丰控股(00005.HK)回购683.53万股 每股平均价5.9270,资讯,1503,0,汇丰控股资讯
09-02 08:01,汇丰控股(00005)8月30日回购683.53万股,资讯,1353,0,汇丰控股资讯
09-02 07:51,本身股份之交易,公告,1507,0,汇丰控股资讯
08-30 23:00,汇丰控股(00005)8月29日斥3.72亿港元回购659.74万股,资讯,1738,0,汇丰控股资讯
08-30 17:26,汇丰控股(00005.HK)耗资3.72亿港元回购659.74万股,资讯,1552,0,汇丰控股资讯
08-30 17:12,翌日披露報表,公告,1310,0,汇丰控股资讯
08-30 14:15,汇丰控股(00005-HK)回购并注销659.74万股,资讯,1357,0,汇丰控股资讯
08-30 08:23,2019年上半年盈利增长良好，维持“收集”,研报,15299,0,汇丰控股资讯
08-30 07:46,本身股份之交易,公告,1480,0,汇丰控股资讯
08-30 05:27,汇丰控股(00005.HK)8月28日耗资3.75亿港元,资讯,1400,0,汇丰控股资讯
08-30 04:55,汇丰获准开展集中办理跨境人民币购售业务,资讯,1695,1,汇丰控股资讯
08-29 19:01,汇丰控股(00005)8月28日斥3.75亿港元回购66,资讯,1347,0,汇丰控股资讯
08-29 18:05,翌日披露報表,公告,1193,0,汇丰控股资讯
08-29 07:55,汇丰控股(00005.HK)回购669.4万股 每股平均,资讯,1446,0,汇丰控股资讯
08-29 07:49,汇丰控股(00005)8月28日回购并注销669.4万,资讯,1321,0,汇丰控股资讯
08-29 07:43,本身股份之交易,公告,1411,0,汇丰控股资讯
08-28 19:42,汇丰控股(00005)8月27日注销625.63万股已回,资讯,1535,0,汇丰控股资讯
08-28 19:08,汇丰控股(00005.HK)8月27日耗资3.92亿港元,资讯,1356,0,汇丰控股资讯
08-28 18:57,翌日披露報表,公告,1321,0,汇丰控股资讯
08-28 14:41,汇控(00005-HK)回购逾700.4万股,资讯,1223,0,汇丰控股资讯
08-28 08:12,汇丰风波：高管动荡、裁员、股价连跌,资讯,10735,11,汇丰控股资讯
08-28 08:00,汇丰控股(00005.HK)回购700.4万股 每股平均,资讯,1510,0,汇丰控股资讯
08-28 07:44,本身股份之交易,公告,1452,0,汇丰控股资讯
08-27 16:38,2019 年度第二次股息; 以股代息,公告,2109,0,汇丰控股资讯
08-27 16:37,2019年中期業績報告(附僱員股份計劃),公告,1587,0,汇丰控股资讯
08-26 17:54,汇丰完成银行间债券市场首批结算周期为T+3,资讯,1566,0,汇丰控股资讯
08-26 16:51,汇丰控股(00005.HK)8月23日耗资3.61亿港元,资讯,1455,0,汇丰控股资讯
08-26 16:50,汇丰控股(00005)8月23日回购约639.77万股并,资讯,1361,0,汇丰控股资讯
08-26 16:40,翌日披露報表,公告,1338,0,汇丰控股资讯
08-26 16:31,汇丰控股(00005-HK)回购并注销639.77万股,资讯,1402,0,汇丰控股资讯
08-26 10:02,汇控随市急挫近3% 创超过两年新低,资讯,1546,0,财经评论
08-26 07:59,汇丰控股8月23日回购并注销639.77万股,资讯,1637,0,汇丰控股资讯
08-26 07:41,本身股份之交易,公告,1466,0,汇丰控股资讯
08-23 17:24,汇丰控股(00005.HK)因行使储蓄优先认股计划,资讯,1605,0,汇丰控股资讯
08-23 17:22,翌日披露報表,公告,1388,0,汇丰控股资讯
08-23 16:31,汇丰控股(00005-HK)回购625.63万股,资讯,1407,0,汇丰控股资讯
08-23 16:21,汇丰控股(00005-HK)回购557.79万股 涉资约3,资讯,1315,0,汇丰控股资讯
08-23 07:50,汇丰控股(00005)8月22日回购625.6万股,资讯,1447,0,汇丰控股资讯
08-23 07:40,本身股份之交易,公告,1446,0,汇丰控股资讯
08-22 18:02,汇丰控股2019年度第二次股息将于9月26日派,资讯,1852,0,汇丰控股资讯
08-22 17:21,2019年度第二次股息以股代息選擇,公告,2807,0,汇丰控股资讯
08-22 17:07,汇丰控股(00005)8月21日斥3.185亿港元回购5,资讯,1506,0,汇丰控股资讯
08-22 17:00,翌日披露報表,公告,1316,0,汇丰控股资讯
08-22 16:49,"汇丰控股(00005-HK)购入5,577,854股",资讯,1425,0,汇丰控股资讯
08-22 10:52,汇控跌不足1％ 拟收购英国保险商英杰华部分,资讯,1700,0,汇丰控股资讯
08-22 08:22,信达生物-B(01801)获礼来制药授予使用治疗,资讯,2511,0,汇丰控股资讯
08-22 08:22,汇丰控股(00005)8月21日回购557.7万股,资讯,1309,0,汇丰控股资讯
08-22 08:19,汇丰控股(00005.HK)回购557.79万股 每股平,资讯,1204,0,汇丰控股资讯
08-22 07:24,本身股份之交易,公告,1370,0,汇丰控股资讯
08-21 17:06,汇丰控股(00005)8月20日斥3.698亿港元回购6,资讯,1418,0,汇丰控股资讯
08-21 16:57,汇丰控股(00005.HK)8月20日耗资3.7亿港元回,资讯,1203,0,汇丰控股资讯
08-21 16:56,翌日披露報表,公告,1250,0,汇丰控股资讯
08-21 16:46,汇丰控股(00005-HK)回购股份,资讯,1317,0,汇丰控股资讯
08-21 09:38,汇控(00005)上日伦交所回购近逾647万股 涉,资讯,1297,0,汇丰控股资讯
08-21 08:12,汇丰控股(00005.HK)回购46.57万股 每股平均,资讯,1281,0,汇丰控股资讯
08-21 07:48,汇丰控股(00005)8月20日回购646.5万股,资讯,1221,0,汇丰控股资讯
08-21 07:38,本身股份之交易,公告,1385,0,汇丰控股资讯
08-20 16:56,汇丰控股(00005)8月19日斥3.74亿港元回购64,资讯,1471,0,汇丰控股资讯
08-20 16:43,翌日披露報表,公告,1377,0,汇丰控股资讯
08-20 16:41,汇丰控股(00005.HK)8月19日耗资3.74亿港元,资讯,1288,0,汇丰控股资讯
08-20 16:15,汇丰控股(00005-HK)回购510.12万股 涉资约2,资讯,1183,0,汇丰控股资讯
08-20 08:36,汇丰控股(00005)8月19日回购646.5万股,资讯,1271,0,汇丰控股资讯
08-20 08:06,汇丰控股(00005.HK)回购646.57万股 每股平,资讯,1339,0,汇丰控股资讯
08-20 07:49,本身股份之交易,公告,1487,0,汇丰控股资讯
08-19 18:53,汇丰：对中国的投入只会增加 不会减少,资讯,2025,2,汇丰控股资讯
08-19 17:49,翌日披露報表,公告,1457,0,汇丰控股资讯
08-19 17:02,汇丰控股(00005)8月16日斥2.88亿港元回购51,资讯,1345,0,汇丰控股资讯
08-19 16:55,汇丰控股(00005.HK)8月16日耗资2.88亿港元,资讯,1239,0,汇丰控股资讯
08-19 14:45,汇丰控股(00005-HK)注销已回购的510.12万股,资讯,1266,0,汇丰控股资讯
08-19 10:44,本地银行股随市走高 汇控反弹逾2%、恒生涨,资讯,1388,0,汇丰控股资讯
08-19 10:36,汇丰控股(00005-HK)涨2.389%,资讯,974,0,财经评论
08-19 07:59,汇丰控股(00005)8月16日回购并注销510.12万股,资讯,1428,0,汇丰控股资讯
08-19 07:59,汇丰控股(00005.HK)回购约510.12万股 每股平均价5.949,资讯,1438,0,汇丰控股资讯
08-19 07:50,本身股份之交易,公告,1516,0,汇丰控股资讯
08-18 13:12,汇丰控股目标价下调至69港元，维持中性评级,研报,7758,0,汇丰控股资讯
08-17 09:02,汇丰亚洲业务税前利润占比下滑 全球大裁员,资讯,4048,1,汇丰控股资讯
08-16 18:36,平安联席CEO李源祥谈入股汇丰：系纯财务投,资讯,8944,8,中国平安资讯
08-16 17:18,汇丰控股(00005)8月15日斥2.87亿港元回购51,资讯,1656,0,汇丰控股资讯
08-16 17:09,汇丰控股(00005.HK)8月15日耗资2.87亿港元,资讯,1613,0,汇丰控股资讯
08-16 17:00,翌日披露報表,公告,1543,0,汇丰控股资讯
08-16 14:45,汇丰控股(00005-HK)回购510.12万股 涉资约2,资讯,1232,0,汇丰控股资讯
08-16 13:11,中国平安联席CEO谈入股汇丰：经营稳健、了,资讯,4523,4,中国平安资讯
08-16 08:52,汇控上日伦交所回购逾510万股 涉资2.87亿元,资讯,1322,0,汇丰控股资讯
08-16 08:03,汇丰控股(00005)8月15日回购并注销510.12万,资讯,1432,0,汇丰控股资讯
08-16 08:02,汇丰控股(00005.HK)回购510.12万股 每股平,资讯,1408,0,汇丰控股资讯
08-16 07:58,本身股份之交易,公告,1669,0,汇丰控股资讯
08-15 16:58,汇丰控股(00005)8月14日斥2.93亿港元回购51,资讯,1328,0,汇丰控股资讯
08-15 16:47,翌日披露報表,公告,1346,0,汇丰控股资讯
08-15 14:20,汇丰控股(00005-HK)注销已回购的510.12万股,资讯,1228,0,汇丰控股资讯
08-15 08:16,汇丰控股(00005)8月14日回购并注销510.12万,资讯,1502,0,汇丰控股资讯
08-15 08:15,汇丰控股(00005.HK)回购510.12万股 每股平,资讯,1434,0,汇丰控股资讯
08-15 08:04,本身股份之交易,公告,1715,0,汇丰控股资讯
08-14 20:15,汇丰银行减持安徽合力112.7万股 持股降至5%,资讯,4540,0,汇丰控股资讯
08-14 16:50,汇丰控股(00005)8月13日斥2.95亿港元回购51,资讯,1379,0,汇丰控股资讯
08-14 16:46,汇丰控股(00005.HK)8月13日耗资2.95亿港元,资讯,1157,0,汇丰控股资讯
08-14 16:46,翌日披露報表,公告,1309,0,汇丰控股资讯
08-14 08:05,汇丰控股(00005)8月13日回购并注销510.12万,资讯,1456,0,汇丰控股资讯
08-14 08:05,汇丰控股(00005.HK)回购510.12万股 每股平,资讯,1444,0,汇丰控股资讯
08-14 07:28,本身股份之交易,公告,1833,0,汇丰控股资讯
08-13 21:03,全球总裁辞职 大中华区总裁4天后也辞职！汇,资讯,22334,16,汇丰控股资讯
08-13 17:52,汇丰控股(00005)8月12日斥2.24亿港元回购38,资讯,1693,0,汇丰控股资讯
08-13 17:42,翌日披露報表,公告,1614,0,汇丰控股资讯
08-13 11:46,中国平安回应汇丰事件：对汇丰入股纯属财务,资讯,10327,4,汇丰控股资讯
08-13 10:01,汇丰控股(0005.HK)跳水跌2% 创2017年5月以,资讯,2136,0,财经评论
08-13 09:40,汇丰控股(0005.HK)低开1.61% 拖累恒指跌40,资讯,1451,0,财经评论
08-13 09:38,汇丰银行突然澄清！两核心高管离职并非外部,资讯,17.0万,131,财经评论
08-13 09:30,汇控上日伦交所回购385万股 涉2.24亿元,资讯,1673,0,汇丰控股资讯
08-13 08:36,汇丰控股(00005.HK)已回购385万股 每股平均,资讯,1530,0,汇丰控股资讯
08-13 08:35,汇丰控股(00005)8月12日回购并注销385.09万,资讯,1344,0,汇丰控股资讯
08-13 07:24,本身股份之交易,公告,2009,0,汇丰控股资讯
08-12 20:41,汇丰回应：股东就外部事件施压导致近期两名,资讯,3665,0,汇丰控股资讯
08-12 17:58,汇丰控股(00005)8月9日斥2.06亿港元回购345,资讯,1760,0,汇丰控股资讯
08-12 17:57,汇丰控股(00005.HK)8月12日耗资2.06亿港元,资讯,1499,0,汇丰控股资讯
08-12 17:52,翌日披露報表,公告,2002,0,汇丰控股资讯
08-12 13:54,汇丰控股(00005-HK)注销已回购的345.09万股,资讯,1767,0,汇丰控股资讯
08-12 12:44,汇丰大中华区行政总裁黄碧娟离任  称与华为,资讯,5180,0,汇丰控股资讯
08-12 11:48,汇丰控股(00005)亚太区首席风险官计划最迟,资讯,2385,0,汇丰控股资讯
08-12 11:47,小摩：下调汇控(00005)目标价至69港元 维持,资讯,1728,0,汇丰控股资讯
08-12 10:59,汇丰黄碧娟离职 发言人：与范宁无关 不会有,资讯,6244,2,汇丰控股资讯
08-12 10:42,汇控亚太区首席风险官计划最迟今年底退休,资讯,1620,0,汇丰控股资讯
08-12 10:33,汇丰控股跌1.33% 一周内失两位高管,资讯,2183,0,汇丰控股资讯
08-12 09:23,汇控(00005)上日伦交所回购345万股 涉约2亿,资讯,1517,0,汇丰控股资讯
08-12 08:54,汇丰回应范宁与黄碧娟两高管离职：与华为无,资讯,11602,10,汇丰控股资讯
08-12 08:14,汇丰控股回购345万股每股平均价6.2677英镑,资讯,1731,0,汇丰控股资讯
08-12 07:54,本身股份之交易,公告,4105,0,汇丰控股资讯
08-10 20:22,一周内两次！汇丰银行高层巨震 曾被曝“坑”华为,资讯,15829,4,汇丰控股资讯
08-10 19:09,高管频繁离职、大规模裁员 汇丰银行怎么了？,资讯,8085,1,汇丰控股资讯
08-10 15:13,汇丰大中华区行政总裁黄碧娟离任,资讯,5916,4,汇丰控股资讯
08-09 21:44,汇丰银行大中华区行政总裁黄碧娟离职,资讯,7858,1,汇丰控股资讯
08-09 21:15,汇丰大中华区行政总裁黄碧娟离任 该职位将不再补缺,资讯,4780,3,汇丰控股资讯
08-09 20:32,传汇控(00005)执行董事邵伟信或接替范宁出任汇丰CEO,资讯,4624,0,汇丰控股资讯
08-09 16:51,汇丰控股(00005)8月8日回购约283.58万股并注销240.5万,资讯,2779,1,汇丰控股资讯
08-09 16:44,汇丰控股(00005.HK)8月8日耗资1.7亿港元回购283.58万,资讯,2106,0,汇丰控股资讯
08-09 16:39,翌日披露報表,公告,5865,0,汇丰控股资讯
08-09 14:06,汇控(00005-HK)伦敦交易所回购逾283万股,资讯,1116,0,汇丰控股资讯
08-09 09:25,汇控上日伦交所回购283万股 涉近1.69亿,资讯,1247,0,汇丰控股资讯
